Location,Hospital,Address,State,District,Pincode
"New No 976, Old No 447, T H Road,Old Washermenpet, Opp To Nirmala Silks,Tondiarpet",Vasan Eye Care Hospital,"New No 976, Old No 447, T H Road,Old Washermenpet, Opp To Nirmala Silks,Tondiarpet",Tamil Nadu,Chennai,600021
"New No:8, Old No:22, 4 Th Cross Street, Trustpuram, Kodambakkam,",Medway Medical Centre,"New No:8, Old No:22, 4 Th Cross Street, Trustpuram, Kodambakkam",Tamil Nadu,Chennai,600022
"No. 19, Kumaran Nagar, Main Road, Peravallur Peravallur",Shepherd Nursing Home,"No. 19, Kumaran Nagar, Main Road, Peravallur Peravallur",Tamil Nadu,Chennai,600022
"8, Iii Main Road,Undited India Nagar, Joint Office,Ayanavaram.",A.C. Hospital,"#8, Iii Main Road,Undited India Nagar , Joint Office,Ayanavaram",Tamil Nadu,Chennai,600023
"45/11,K.H Road,Ayanavaram,Opp T N S C Bank.Near Ayanavaram Signal",Amruth Siddha and Ayurvedic Clinic,"#45/11,K.H Road,Ayanavaram,Opp T N S C Bank.Near Ayanavaram Signal",Tamil Nadu,Chennai,600023
"No.35, 36, S.S.Davar 6Th Street, Ayanavaram,",Shreyas Health Centre,"No.35, 36, S.S.Davar 6Th Street, Ayanavaram",Tamil Nadu,Chennai,600023
"No.46, Konnur High Road Ayanavaram",Sri Eshodha Hospital,"No.46, Konnur High Road Ayanavaram",Tamil Nadu,Chennai,600023
"New No26,Old No16,North Road,Mandavelipakkam",The Base,"New No26,Old No16,North Road,Mandavelipakkam",Tamil Nadu,Chennai,600023
"N0 122,Medavakkam Tank Road,Ayanavaram",Trust Hospital,"N0 122,Medavakkam Tank Road,Ayanavaram",Tamil Nadu,Chennai,600023
"No 19/2 L&T Colony,Vijay Nagar",Bhatia Hospital,"No 19/2 L&T Colony,Vijay Nagar",Tamil Nadu,Chennai,600024
"31, Railway Border Road, Kodambakkam,",J. V. Hospitals Llp,"31, Railway Border Road, Kodambakkam",Tamil Nadu,Chennai,600024
"Vijaya Health Centre, S K Salai Vadapalani",Madras Institute Of Nephrology,"Vijaya Health Centre, S K Salai Vadapalani",Tamil Nadu,Chennai,600024
5 Kannadasan St.Ranga Rajapuram Chennai,Madras Poly Clinic and R.R.Scan,5 Kannadasan St.Ranga Rajapuram,Tamil Nadu,Chennai,600024
"New No: 177, Old No:77, Rangarajapuram Road, Kodambakkam,",S.V. Bone And Joint Hospital,"New No: 177, Old No:77, Rangarajapuram Road, Kodambakkam",Tamil Nadu,Chennai,600024
"No.36, Dr. Ambedkar Road, Kodambakkam,",Spot Hospital,"No.36, Dr. Ambedkar Road, Kodambakkam",Tamil Nadu,Chennai,600024
"47, Railway Station Road, Near Post Office, Kodambakkam",Srinivasa Hospital P P N,"47, Railway Station Road, Near Post Office, Kodambakkam",Tamil Nadu,Chennai,600024
"9, Vellala Street, Kodambakkam,",The Best Hospital Private Limited,"# 9, Vellala Street, Kodambakkam",Tamil Nadu,Chennai,600024
"5, First Street, Taylors Estate, Kodambakkam,",Thulasi Krishna Nursing Home,"# 5, First Street, Taylors Estate, Kodambakkam",Tamil Nadu,Chennai,600024
"N0O-10, Jawahar Lal Nehru Road",Aakash Fertility Center and Hospital,"N0O-10, Jawahar Lal Nehru Road",Tamil Nadu,Chennai,600026
"47/1, Jawaharlal Nehru Road, 100Ft Road, Vadapalani",Apollo Medical Center [Vadapalani],"47/1, Jawaharlal Nehru Road, 100Ft Road, Vadapalani",Tamil Nadu,Chennai,600026
"Newno. 42, Oldno. 60, Jawaharlal Nehru 100Ft Road, Vadapalani",PandG Nursing Home,"Newno. 42, Oldno. 60, Jawaharlal Nehru 100Ft Road, Vadapalani",Tamil Nadu,Chennai,600026
"175, N.S.K. Salai, Vadapalani, Chennai",Paterson Cancer Center / Vijaya Health Centre Premises,"175, N.S.K. Salai, Vadapalani",Tamil Nadu,Chennai,600026
"No. 1, Duraiswamy Road, Near Vadapalani Temple",S K Nursing Home Pvt Ltd,"No. 1, Duraiswamy Road, Near Vadapalani Temple",Tamil Nadu,Chennai,600026
"68, South Sivankoil Street, Saidapet Road, Vadapalani",Smv Nursing Home,"68, South Sivankoil Street, Saidapet Road, Vadapalani",Tamil Nadu,Chennai,600026
"No. 23/3, 4Th Street, Thiru Nagar, Vdapalani",Sri Sai Joint and Bone Centre and Nursing Home,"No. 23/3, 4Th Street, Thiru Nagar, Vdapalani",Tamil Nadu,Chennai,600026
"No.76,Nelson Manickam Road, Aminjikaral,",Tamilnadu Urological Research Centre,"No.76,Nelson Manickam Road, Aminjikaral",Tamil Nadu,Chennai,600026
"D No 154/2, Aroot Road, Vadapalani Vadapalani",Vasan Eye Care Hospital,"D No 154/2, Aroot Road, Vadapalani Vadapalani",Tamil Nadu,Chennai,600026
"180, Nsk Salai, Vadapalani",Vijaya Heart Foundation - Vijaya Hospital,"180, Nsk Salai, Vadapalani",Tamil Nadu,Chennai,600026
"No.175, N.S.K.Salai, Vadapalani",Vijaya Institute Of Trauma and Orthopadics,"No.175, N.S.K.Salai, Vadapalani",Tamil Nadu,Chennai,600026
"170, R.K. Mutt Road, Mandaveli, Chennai.",Anns Homoeo Clinic,"170, R.K. Mutt Road, Mandaveli",Tamil Nadu,Chennai,600028
"11, Durgabai Deshmukh Road, Raja Annamalai Puram",Aswatha Eye Department,"11, Durgabai Deshmukh Road, Raja Annamalai Puram",Tamil Nadu,Chennai,600028
"200, Ramakrishnan Mutt Road, Mandaveli,",B.S.S.Hospital,"200, Ramakrishnan Mutt Road, Mandaveli",Tamil Nadu,Chennai,600028
"52, Raja Annamalai Puram, Chennai,",Chennai Kaliappa Hospital,"#52, Raja Annamalai Puram",Tamil Nadu,Chennai,600028
"No:12/2, Bagirathi Ammal Street, C P Ramasamy Road, R.A.Puram",Chennai Skin Foundation and Yesudian Research Instit,"No:12/2, Bagirathi Ammal Street, C P Ramasamy Road, R.A.Puram",Tamil Nadu,Chennai,600028
"No 11, 12, Dr Durgabai Deshmukh Road,R. A .Puram",Durgabai Deshmukh General Hospital and Research Centre / Andhra Mahila Sabha,"No 11, 12, Dr Durgabai Deshmukh Road,R. A .Puram",Tamil Nadu,Chennai,600028
No 5 School View Road R K Nagar,Indira Eye Hospital,No 5 School View Road R K Nagar,Tamil Nadu,Chennai,600028
"11, Durgabai Deshmukh Road, Raja Annamalai Puram",Ishwari Prasad Datthaireya Orthopedic Center,"11, Durgabai Deshmukh Road, Raja Annamalai Puram",Tamil Nadu,Chennai,600028
"No. 38/56, Venkatakrishna Road, Mandavelli,",Janamma Hospital,"No. 38/56, Venkatakrishna Road, Mandavelli",Tamil Nadu,Chennai,600028
"12, Norton 3Rd Lane Mandavelipakkam",Jaya Eye Clinic,"12, Norton 3Rd Lane Mandavelipakkam",Tamil Nadu,Chennai,600028
"No.43,Second Main Road,R A Puram.",Kaliappa Renal Center,"No.43,Second Main Road,R A Puram",Tamil Nadu,Chennai,600028
"No. 1, 1 Cross Street, Off Ii Main Road, Raja Annamalaipuram,",Madras Ent Research Foundation Pvt Ltd,"No. 1, 1 Cross Street, Off Ii Main Road, Raja Annamalaipuram",Tamil Nadu,Chennai,600028
"73 Venkatakrishna Road, Ra Puram,",Navasuja Sankara Nethralaya,"73 Venkatakrishna Road, Ra Puram",Tamil Nadu,Chennai,600028
"No.22,2Nd Main Road,R.A. Puram",Prakriti Ayurvedic Center,"No.22,2Nd Main Road,R.A. Puram",Tamil Nadu,Chennai,600028
"No:14, Bagirathiammal Street, R.A.Puram,",Rupa Clinic and Nursing Home,"No:14, Bagirathiammal Street, R.A.Puram",Tamil Nadu,Chennai,600028
"12/2, Southcanalbankroad, Mandaveli.",Sanjay E N T Hospital,"12/2, Southcanalbankroad, Mandaveli",Tamil Nadu,Chennai,600028
"D.No.2,Plo No 86 V.V.Giri Salai Vivekanand Nagar",Sri Durga Health Centre,"D.No.2,Plo No 86 V.V.Giri Salai Vivekanand Nagar",Tamil Nadu,Chennai,600028
"No 4/30, Devanathan Road, Mandevalli,Near Mandaveli Bus Terminus",Sri Ranga Hospitals,"No 4/30, Devanathan Road, Mandevalli,Near Mandaveli Bus Terminus",Tamil Nadu,Chennai,600028
"Old No -15 /New 26-28, Norton Road,",The Surgical Clinic and Nursing Home,"Old No -15 /New 26-28, Norton Road",Tamil Nadu,Chennai,600028
"14/2, Devanandan Street, Mandavalli",Y V K Hospital Enterprises Pvt Ltd,"14/2, Devanandan Street, Mandavalli",Tamil Nadu,Chennai,600028
"360, P.H. Road,Jn Of P.H. Road And, Nelson Manickam Road, Aminjikarai,",A.K. Hospital,"# 360, P.H. Road,Jn Of P.H. Road And, Nelson Manickam Road, Aminjikarai",Tamil Nadu,Chennai,600029
"729, P.H. Road,Near Pachaiappa's College,Aminjikarai.",Dr. Seshiah Diabetes Research Institute and Dr. Balaji Diabetes Care Centre,"#729, P.H. Road, ,Near Pachaiappa's College,Aminjikarai",Tamil Nadu,Chennai,600029
"New No. 12 Old No.20, Govindan Street Ayyavoo, Naidu Colony, Aminjikarai",M.R. Hospital,"New No. 12 Old No.20, Govindan Street Ayyavoo, Naidu Colony, Aminjikarai",Tamil Nadu,Chennai,600029
"No.12/16, New Natarajapuram, Aminjikarai,",Peoples Nursing Home,"No.12/16, New Natarajapuram, Aminjikarai",Tamil Nadu,Chennai,600029
"43, Lakshmi Talkies Road,Shenoy Ngr., Opposite Poonamallee High Road,",Billroth Hospitals Limited,"43, Lakshmi Talkies Road,Shenoy Ngr., Opposite Poonamallee High Road",Tamil Nadu,Chennai,600030
"No:6, Kanniamman Koil Street,Parllel To Billroth Hospital,Shenoy Nagar.",Mu.Va. Hospital And Speciality Centre,"No:6, Kanniamman Koil Street,Parllel To Billroth Hospital,Shenoy Nagar",Tamil Nadu,Chennai,600030
"72, Spur Tank Road,Chetpet",Bethany Health Care Centre,"72, Spur Tank Road,Chetpet",Tamil Nadu,Chennai,600031
"No.2 (E), Mcnichols Road, 3 Lane, Chetpet,",Dr. Mehta`S Hospitals Pvt Ltd,"No.2 (E), Mcnichols Road, 3 Lane, Chetpet",Tamil Nadu,Chennai,600031
"10-A, Dr. Guruswamy Road, Chetpet",Josephs Nursing Home,"10-A, Dr. Guruswamy Road, Chetpet",Tamil Nadu,Chennai,600031
"9, Pachaiyappa College Hostel Road Chetpet",Padmini Nursing Home,"9, Pachaiyappa College Hostel Road Chetpet",Tamil Nadu,Chennai,600031
"No.77 Harrington Road, Chetpet,",Prashanth Multispeciality Hospital,"No.77 Harrington Road, Chetpet",Tamil Nadu,Chennai,600031
"49/2,Harrington Road,Chetput Chennai",Psymed Hospiyal,"49/2,Harrington Road,Chetput",Tamil Nadu,Chennai,600031
"No. 11, M C. Nichols Road, 4Th Lane, Opposite To Chetpet Police Station Chetpet",Sri Sainath Hospital and Research Institute,"No. 11, M C. Nichols Road, 4Th Lane, Opposite To Chetpet Police Station Chetpet",Tamil Nadu,Chennai,600031
"13, East Spurtank Road, Chetpet",Vasantha Subramanian Hospitals Pvt Ltd,"13, East Spurtank Road, Chetpet",Tamil Nadu,Chennai,600031
"10, Dr. Guruswamy Road, Chetpet,",Zubeda Hospitals Ltd.,"# 10, Dr. Guruswamy Road, Chetp",Tamil Nadu,Chennai,600031
"No. 1, Lawyer Jaganathan Street, Guindy,",Balaji Hospital (P) Ltd.,"No. 1, Lawyer Jaganathan Street, Guindy",Tamil Nadu,Chennai,600032
"S7,Thiru Vi Ka Industrial Estate, Guindy, Chennai-32.",Bharat Specialities Lab,"S7,Thiru Vi Ka Industrial Estate, Guindy, Chennai-32",Tamil Nadu,Chennai,600032
"Noble Marine Tower No.62, No.62 Mount Road Guindy",Concept Medicare India Pvt. Ltd.,"Noble Marine Tower No.62 , No.62 Mount Road Guindy",Tamil Nadu,Chennai,600032
"6,Kanniamman,Koil Street,Shenoy Nagar",Dr.Mu.Va.Hospital,"6,Kanniamman,Koil Street,Shenoy Nagar",Tamil Nadu,Chennai,600032
"22/12, G.S.T Road, Guindy, Chennai",Mina Nursing Home,"22/12, G.S.T Road, Guindy",Tamil Nadu,Chennai,600032
"No:5/4, 3Rd Cross Street, Balaji Nagar, Ekkattuthangal",Mother and Child Care Clinic,"No:5/4, 3Rd Cross Street, Balaji Nagar , Ekkattuthangal",Tamil Nadu,Chennai,600032
"No.51/3 Cart Truck Road, Maduvankarai,Near Beta Matriculation School Guindy",N.K Clinic,"No.51/3 Cart Truck Road, Maduvankarai,Near Beta Matriculation School Guindy",Tamil Nadu,Chennai,600032
"No.1 Lawyer Jagnathan Street, Guindy",Sri Balaji Hospital P Ltd,"No.1 Lawyer Jagnathan Street, Guindy",Tamil Nadu,Chennai,600032
"27, Govindan Raod, West Mambalam, Near Srinivasa Theatre",Annamalai Hospital,"# 27, Govindan Raod, West Mambalam, Near Srinivasa Theatre",Tamil Nadu,Chennai,600033
18 Rukmani Street West Mambalam,C.S.M.Nursing Home,18 Rukmani Street West Mambalam,Tamil Nadu,Chennai,600033
"No. 27, Govindan Road, West Mambalam",Dr. Rm. Annamalai Clinic Family Health Care Centre,"No. 27, Govindan Road, West Mambalam",Tamil Nadu,Chennai,600033
"No. 47, Govindan Road, West Mambalam, Near Srinivasa Theatre,",Lakshmi Hospital,"No. 47, Govindan Road, West Mambalam, Near Srinivasa Theatre",Tamil Nadu,Chennai,600033
"No.62, Brindavan Street, West Mambalam, Espee Complex",Panacea Biotec Ltd.,"No.62, Brindavan Street, West Mambalam, Espee Complex",Tamil Nadu,Chennai,600033
"174, Lake View Road,West Mambalam,Near Ayodhya Mandapam.",Public Health Centre,"174, Lake View Road,West Mambalam,Near Ayodhya Mandapam",Tamil Nadu,Chennai,600033
"No. 68, Thambiah Road West, Mambalam",S R M Hospital,"No. 68, Thambiah Road West, Mambalam",Tamil Nadu,Chennai,600033
"No.49, Umapathy Street, Arya Gowda Road, West Mambalam",Spectra Laboratories,"No.49, Umapathy Street, Arya Gowda Road, West Mambalam",Tamil Nadu,Chennai,600033
"New 4, Old 108,Ellai Amman Koil Street,West Mambalam",Sree Chakra Maternity Clinic,"New # 4, Old# 108,Ellai Amman Koil Street,West Mambalam",Tamil Nadu,Chennai,600033
"45 Jubilee Road, West Mambalam",Sulochana Dental Care Center,"# 45 Jubilee Road, West Mambalam",Tamil Nadu,Chennai,600033
"No.7, Varadappan Street,West Mambalam.","Vasanthram Hospital (P) Ltd.,","No.7, Varadappan Street,West Mambalam",Tamil Nadu,Chennai,600033
No 5 Thirumurthy Nagar 6Th Street Nungambakkam,Acharya Dental Clinic,No 5 Thirumurthy Nagar 6Th Street Nungambakkam,Tamil Nadu,Chennai,600034
"28, Cathedral Garden Road, Nungambakkam,",B.R.S. Hospital Pvt. Ltd.,"28, Cathedral Garden Road, Nungambakkam",Tamil Nadu,Chennai,600034
"No.30C, Cathedral Garden Road, Nungambakkam",Chitra's Ent Laser Hospital,"No.30C, Cathedral Garden Road, Nungambakkam",Tamil Nadu,Chennai,600034
"6E, Nungambakkam High Road",Fertility Research Centre,"6E, Nungambakkam High Road",Tamil Nadu,Chennai,600034
"6-E,Nungambakkam High Road,",G.G.Hospital,"6-E,Nungambakkam High Road",Tamil Nadu,Chennai,600034
"No 3 Jagannathan Road,Nungambakkam",Lister Metropolis LaboratoryandResearch Centre Pvt.Ltd.,"No 3 Jagannathan Road,Nungambakkam",Tamil Nadu,Chennai,600034
"83, Valluvarkottam High Road ( Village Road)",Medindia Hospitals,"83, Valluvarkottam High Road ( Village Road)",Tamil Nadu,Chennai,600034
"No.27, Pushpanagar, 1St Street, Nungabakkam,",Sasthalaya Hospital,"No.27, Pushpanagar, 1St Street, Nungabakkam",Tamil Nadu,Chennai,600034
"12-A, Nageswara Road, Nungambakkam",The Child Trust Medical Research Foundation,"12-A, Nageswara Road, Nungambakkam",Tamil Nadu,Chennai,600034
"No. 12A, Nageswara Road, Nungambakkam",The Kanchi Kamkoti Child Trust Hospital,"No. 12A, Nageswara Road, Nungambakkam",Tamil Nadu,Chennai,600034
"7, Subbaraya Street, Nungambakkam, Chennai - 600 034",The Kasturba Nurshing Home,"7, Subbaraya Street, Nungambakkam",Tamil Nadu,Chennai,600034
"No.6, 9Th Street Nandaram Extn, OppositeTo Icici Bank,",R.S.P. Hospital,"No.6, 9Th Street Nandaram Extn, OppositeTo Icici Bank",Tamil Nadu,Chennai,600035
"121-A(New No-36A), Chamiers Road, Nandanam,",Venkataeswara Hospitals,"121-A(New No-36A), Chamiers Road, Nandanam",Tamil Nadu,Chennai,600035
"39, West Road, West Cit Nagar",Vijay's Nursing Home,"39, West Road, West Cit Nagar",Tamil Nadu,Chennai,600035
"No.38/40, Muthumudali Street, Vysarpadi",Dr M.V.R. Health Centre and Child Care Hospital,"No.38/40, Muthumudali Street, Vysarpadi",Tamil Nadu,Chennai,600039
"10A/3 I Cross Street, M K B Nagar",Nalamm Hospital Pvt Ltd,"10A/3 I Cross Street, M K B Nagar",Tamil Nadu,Chennai,600039
"645&646, T H Road, Tondiarpet",Apollo Hospitals,"645&646, T H Road, Tondiarpet",Tamil Nadu,Chennai,600040
"No. Ac-15, 2Nd Avenue,Anna Nagar",Dr. Agarwals Eye Hospital Ltd.,"No. Ac-15, 2Nd Avenue,Anna Nagar",Tamil Nadu,Chennai,600040
"G Block 10 Street Anna Nagar East, Chennai",Dr. V.K Sairam,G Block 10 Street Anna Nagar East,Tamil Nadu,Chennai,600040
"2/1911, J-Block, 15 Th Main Road, Anna Nagar",I K Hospital,"2/1911, J-Block, 15 Th Main Road, Anna Nagar",Tamil Nadu,Chennai,600040
"Krishna Dental Clinic W-120,Anna Nagar, Madras",Krishna Dental Clinic,"Krishna Dental Clinic W-120,Anna Nagar",Tamil Nadu,Chennai,600040
"2181 L Block 12Th Main Road, Anna Nagar",Neomed Hospital - Chennai,"2181 L Block 12Th Main Road, Anna Nagar",Tamil Nadu,Chennai,600040
"63, Old No. 102, Q Block, 3Rd Avenue, Annanagar",Rathi Med Speciality Hospital,"63, Old No. 102, Q Block, 3Rd Avenue , Annanagar",Tamil Nadu,Chennai,600040
"Kimbarley Towers, Y-222, Ist Flr 2Nd Avenue, Anna Nagar",Reya-Z Laser Vision Centre,"Kimbarley Towers, Y-222, Ist Flr 2Nd Avenue, Anna Nagar",Tamil Nadu,Chennai,600040
162/16 Mangalam Colony 7Th Avennue Anna Nagar,Robin and Robin Health Care,162/16 Mangalam Colony 7Th Avennue Anna Nagar,Tamil Nadu,Chennai,600040
"Q-94,16""Street,4""Main Road Anna Nager Channai",S.M.V Medicals,"Q-94,16""Street,4""Main Road Anna Nager",Tamil Nadu,Chennai,600040
"Plot No:1824/1, 18Th Main Road, Anna Nagar",Shivas Eye Care,"Plot No:1824/1, 18Th Main Road, Anna Nagar",Tamil Nadu,Chennai,600040
"Aa 16, 3Rd Main Road, Anna Nagar,",Soundarapandian Bone and Joint Hospital Research Institute Pvt. Ltd.,"Aa 16, 3Rd Main Road, Anna Nagar",Tamil Nadu,Chennai,600040
"New No.4, Old No.1620-A, 16Th Main Road, Anna Nagar",Sri Devi Speciality Hospial,"New No.4, Old No.1620-A, 16Th Main Road, Anna Nagar",Tamil Nadu,Chennai,600040
"W-98, Second Avenue, Anna Nagar, Round Tana Bus Stand",Sundar Eye Hospital and West Madras Medical Centre,"W-98, Second Avenue, Anna Nagar, Round Tana Bus Stand",Tamil Nadu,Chennai,600040
"9-C, Shanthi Colony Iv Avenue, Anna Nagar",Sundaram Medical Foundation,"9-C, Shanthi Colony Iv Avenue, Anna Nagar",Tamil Nadu,Chennai,600040
"Celebrity, T-95.Iiird Avenue, Annanagar",The Apollo Clinic,"Celebrity, T-95.Iiird Avenue, Annanagar",Tamil Nadu,Chennai,600040
"Rds Enterprises Pvt Limited, Franchisee Of Titan Eye Rbn Tower,Ak-2,4Th Avenue,Shanthi Colony,Annanagar",Titan Eye,"Rds Enterprises Pvt Limited, Franchisee Of Titan Eye Rbn Tower,Ak-2,4Th Avenue,Shanthi Colony,Annanagar",Tamil Nadu,Chennai,600040
"182,Plot No.995 `O` 2Nd, Anna Nagar",Uma Eye Clinic Pvt.Ltd,"182,Plot No.995 `O` 2Nd, Anna Nagar",Tamil Nadu,Chennai,600040
"No. 63, Old No.102, Q Block 3Rd Avenue Annanagar",Vasanthram Hospital,"No. 63, Old No.102, Q Block 3Rd Avenue Annanagar",Tamil Nadu,Chennai,600040
"No.106, Jawaharlal Nehru Salai, 100 Feet Road, Near Koyambedu Junction, Thirumangalal, Anna Nagar West",Vee Care Hospital,"No.106, Jawaharlal Nehru Salai, 100 Feet Road, Near Koyambedu Junction, Thirumangalal, Anna Nagar West",Tamil Nadu,Chennai,600040
"W-98, Second Avenue Anna Nagar",West Madras Medical Centre / Sundar Eye Hospital Pvt Ltd,"W-98, Second Avenue Anna Nagar",Tamil Nadu,Chennai,600040
"No.3,Third Street Malavia Avenue, Thiruvanmiyur",Balaji Nursing Home - Chennai,"No.3,Third Street Malavia Avenue, Thiruvanmiyur",Tamil Nadu,Chennai,600041
"No-58, M G Road, Thiruvanmiyur",Jayam Polyclinc,"No-58, M G Road, Thiruvanmiyur",Tamil Nadu,Chennai,600041
"East Coast Road, A-1,Srinivasapuram, Thiruvanmiyur,",R. M. Hospital P. Ltd.,"East Coast Road, A-1,Srinivasapuram, Thiruvanmiyur",Tamil Nadu,Chennai,600041
"1/28, Vasudevan Street, East Coast Road, Kottivakkam",S.S Nursing Home,"1/28, Vasudevan Street, East Coast Road, Kottivakkam",Tamil Nadu,Chennai,600041
"18, East Coast Road,Near Neelangarai Bus Stop,Neelangarai.",Santhi Hospital,"#18, East Coast Road,Near Neelangarai Bus Stop,Neelangarai",Tamil Nadu,Chennai,600041
"1/28, Vasudevan Street East Coast Road",Siva Subramaniam Nursing Home,"1/28, Vasudevan Street East Coast Road",Tamil Nadu,Chennai,600041
"Old No 3, New 11, North Mada Street, Near Marundeeswarar Temple, Near Thiruvanmiyur Bus Terminus",Starlight Hospitals Pvt Ltd,"Old No 3, New 11, North Mada Street, Near Marundeeswarar Temple, Near Thiruvanmiyur Bus Terminus",Tamil Nadu,Chennai,600041
"No: 7, 2Nd East Street, Thiruvanmiyur",Swaram Medicare And Research Centre Pvt Ltd,"No: 7, 2Nd East Street, Thiruvanmiyur",Tamil Nadu,Chennai,600041
"No 20, Thamirabarani Towers, Ecr Road, Kabaliswarer Nagar, Neelankarai",Vasan Eye Care Hospital,"No 20, Thamirabarani Towers, Ecr Road, Kabaliswarer Nagar, Neelankarai",Tamil Nadu,Chennai,600041
"N0.5,C-Block, Paramount Park, Mega Mart(Upstair) Vijaya Nagar,Velachery",Aarthi Priyas Tooth Care Clinic,"N0.5,C-Block, Paramount Park, Mega Mart(Upstair) Vijaya Nagar,Velachery",Tamil Nadu,Chennai,600042
"Plot No. 191, 100 Feet By-Pass Road, Velacherry",Appasamy Krishna Hospital and Medical Research Centre,"Plot No. 191, 100 Feet By-Pass Road, Velacherry",Tamil Nadu,Chennai,600042
"No.-4, 100 Feet Road, Tansi Nagar, Velachery",Athipathi Hsopital and Research Centre,"No.-4, 100 Feet Road, Tansi Nagar, Velachery",Tamil Nadu,Chennai,600042
No 6 12Th Cross Steet Dhandeeswaram Nagar Velachery,Chennai Eye Care Hospital,No 6 12Th Cross Steet Dhandeeswaram Nagar Velachery,Tamil Nadu,Chennai,600042
"No. 60, Gandhi Road Chennai",Dr G Kirubakaran,"No. 60, Gandhi Road",Tamil Nadu,Chennai,600042
"27, 100 Feet Road, Taramani Link Road, Velacherry",Dr.Agarwals Eye Hospital- Velacherry,"27, 100 Feet Road, Taramani Link Road, Velacherry",Tamil Nadu,Chennai,600042
"No.39, Rajalakhsmi Nagar",Helios Hospital Pvt Ltd,"No.39, Rajalakhsmi Nagar",Tamil Nadu,Chennai,600042
Velachery Main Road Velachery,Kumaran Diagnostic Centre,Velachery Main Road Velachery,Tamil Nadu,Chennai,600042
"40B, Tansi Nagar Vii St, Velachery,",Nandhini Hospital,"40B, Tansi Nagar Vii St, Velachery",Tamil Nadu,Chennai,600042
"No.14, 10Th Cross Street, A.G.S.Colony, Velachery",Velachery K S Hospital,"No.14, 10Th Cross Street , A.G.S.Colony, Velachery",Tamil Nadu,Chennai,600042
"7/14, 7Th Cross Street, Rajalakshmi Nagar, Velachery",Xcellent Care Superspeciality Hospital,"7/14, 7Th Cross Street, Rajalakshmi Nagar, Velachery",Tamil Nadu,Chennai,600042
"No:32, Pillaiyar Koil Street, Nesapakkam, West K.K.Nagar, Chennai-600078",Arokya Hospital,"No:32, Pillaiyar Koil Street, Nesapakkam, West K.K.Nagar",Tamil Nadu,Chennai,600078
"51-52, Thiruvalluvar Salai,,Nesapakkam,.",Cmc Hospital,"#51-52, Thiruvalluvar Salai,Nesapakkam",Tamil Nadu,Chennai,600078
"B-49B, Dr.Ramasamy Salai, Near Pillayar Koil Bus Stop, K.K Nagar",S M Hospital,"B-49B, Dr.Ramasamy Salai, Near Pillayar Koil Bus Stop, K.K Nagar",Tamil Nadu,Chennai,600078
"127, Mint Street, Chennai 600079",Singhvi Health Center,"127, Mint Street",Tamil Nadu,Chennai,600078
"Jothir Akshaya Flat-1 No-59, Munusamy Salai Kk Nagar West Near Pondy State Guest House",Sucha Eye Cure,"Jothir Akshaya Flat-1 No-59, Munusamy Salai Kk Nagar West Near Pondy State Guest House",Tamil Nadu,Chennai,600078
"583, Thiruvottriyur High Road, Tondiarpet,",Ezhil Hospital,"583, Thiruvottriyur High Road, Tondiarpet",Tamil Nadu,Chennai,600081
"New No.303,Old No.99, T.H.Road, Chennai",J.K.Hospital,"New No.303,Old No.99, T.H.Road",Tamil Nadu,Chennai,600081
"8 & 9 Annai Velakanni Nagar,Madhavaram Milk Colony,.",K.M.Multi Speciality Hospital,"# 8 & 9 Annai Velakanni Nagar,Madhavaram Milk Colony",Tamil Nadu,Chennai,600081
"No. 33, Kanakapillai Street,Tondiarpet,",Malligai Hospital,"No. 33, Kanakapillai Street,Tondiarpet",Tamil Nadu,Chennai,600081
"599,T.H.Road, Tondiarpet, Chennai-600081.",Rudhra-Chella Clinicare`N`Cure Services,"599,T.H.Road, Tondiarpet",Tamil Nadu,Chennai,600081
"12,Veeraragavan Road, New Washermanpet,Chennai.",Sri Sai Medical Centre,"12,Veeraragavan Road, New Washermanpet",Tamil Nadu,Chennai,600081
"B-63, Siva Elango Salai (70 Feet Road), Periyar Nagar",Dr Agarwal Eye Hospital Ltd,"B-63, Siva Elango Salai (70 Feet Road), Periyar Nagar",Tamil Nadu,Chennai,600082
"1/255, 10Th Street S R P Colony Chennai Chennai 600082",Eswari Nursing Home,"1/255, 10Th Street S R P Colony",Tamil Nadu,Chennai,600082
7(1/1A)1St Main Road Jawahar Nagar,N.R.Hospital,7(1/1A)1St Main Road Jawahar Nagar,Tamil Nadu,Chennai,600082
"7/1, Laxmanan Nagar Paper Mills Road",Raju Nursing Home,"7/1, Laxmanan Nagar Paper Mills Road",Tamil Nadu,Chennai,600082
"No.25/17,70 Feet Road,Jawahar Nagar",Sheeba Multi Speciality Clinic,"No.25/17,70 Feet Road,Jawahar Nagar",Tamil Nadu,Chennai,600082
"46, S.R.P. Kil Street(North) T.V.K.Nagar,",Sri Bala Nursing Home,"46, S.R.P. Kil Street(North) T.V.K.Nagar",Tamil Nadu,Chennai,600082
"80/2, 34 Srp Koil St., T.V.K.Nagar, Chennai",Sri Sai Sankara Dental Clinic And Orthodontic Cent,"80/2, 34 Srp Koil St., T.V.K.Nagar",Tamil Nadu,Chennai,600082
"289/149, D.No.149,Paper Mills Road, Opp To 70 Feet Road,Perambur.","Vasan Eye Care Hospital, Perambur","#289/149, D.No.149, ,Paper Mills Road, Opp To 70 Feet Road,Perambur",Tamil Nadu,Chennai,600082
